A1,A2,A3,A4,A5,heat,time,,,,,,,,
20.21,19.53,20.12,20.51,19.63,0,9507,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.63,19.92,20.31,19.53,0,9547,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.43,20.21,20.41,19.73,0,9586,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.63,20.12,20.7,19.63,0,9626,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.43,20.12,20.51,19.53,0,9666,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.34,19.82,20.61,19.53,0,9705,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.43,20.12,20.51,19.73,0,9745,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.63,20.21,20.41,19.63,0,9784,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.63,20.02,20.51,19.53,0,9824,,,,,,,,
,,,,,,,,,,,,,,
20.31,19.34,20.02,20.41,19.73,0,9864,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.53,19.92,20.7,19.53,0,9903,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.43,20.12,20.51,19.63,0,9943,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.53,20.02,20.41,19.73,0,9981,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.43,20.12,20.41,19.63,0,10021,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.43,20.12,20.31,19.82,0,10062,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.53,20.21,20.41,19.73,0,10102,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.63,20.21,20.51,19.63,0,10143,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.73,20.21,20.51,19.73,0,10183,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.82,20.02,20.51,19.82,0,10224,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.34,20.02,20.51,19.63,0,10265,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.34,20.12,20.51,19.43,0,10305,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.43,20.21,20.41,19.63,0,10346,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.53,20.12,20.51,19.53,0,10386,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.53,20.02,20.61,19.63,0,10427,,,,,,,,
,,,,,,,,,,,,,,
20.31,19.43,20.02,20.7,19.63,0,10468,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.63,20.21,20.41,19.82,0,10508,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.53,20.12,20.51,19.73,0,10549,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.53,20.02,20.41,19.63,0,10590,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.43,20.12,20.31,19.73,0,10630,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.43,20.12,20.61,19.63,0,10671,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.53,20.12,20.41,19.53,0,10711,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.63,20.12,20.41,19.82,0,10752,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.53,20.21,20.41,19.73,0,10792,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.53,20.21,20.41,19.63,0,10832,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.34,20.31,20.41,19.63,0,10873,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.43,20.21,20.41,19.63,0,10913,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.53,20.12,20.41,19.73,0,10954,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.53,20.12,20.51,19.43,0,10995,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.53,20.21,20.51,19.73,0,11035,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.53,20.12,20.41,19.73,0,11076,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.63,20.12,20.51,19.82,0,11116,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.53,20.21,20.51,19.73,0,11157,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.34,20.02,20.41,19.53,0,11198,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.53,20.12,20.61,19.63,0,11238,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.63,20.21,20.41,19.63,0,11279,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.53,20.02,20.61,19.63,0,11320,,,,,,,,
